Fast Fourier Transform Results:
Frame 1 result: 
(0.0003268,0)
(0.000513736,0.000285617)
(-0.00102481,0.00148281)
(0.00217965,-0.00611386)
(0.00457678,-0.00312766)
(0.00795045,0.00212169)
(0.00105608,0.0029152)
(-0.0041573,0.00420071)
(-0.00639289,0.00372646)
(-0.00904693,0.00398311)
(-0.00811984,-0.00208274)
(-0.00352936,-0.0057802)
(0.00110045,-0.00727227)
(0.000436609,-0.00630214)
(0.0082154,-0.00611166)
(0.0118147,0.00248627)
(0.00641746,0.00641548)
(0.00356802,0.00587584)
(-0.000890438,0.00618168)
(-0.000394463,0.00685849)
(-0.0049828,0.00489712)
(-0.00737744,-0.0014526)
(-0.00442742,-0.00504222)
(-0.00430955,-0.00109993)
(-0.00486489,-0.00978036)
(0.00713061,-0.00348795)
(0.00332861,-0.00561519)
(0.00440858,0.00296251)
(0.0025166,-0.00455668)
(0.0053079,0.00337067)
(0.00170067,0.000644856)
(0.000796828,0.00548449)
(-0.00125729,0.000633952)
(0.00379671,0.00271787)
(-0.00205428,0.00225106)
(-0.00955619,-9.57603e-005)
(-9.25665e-005,-0.00377054)
(-0.00167116,-0.00226449)
(-0.00256643,-0.00508622)
(-0.00321999,-0.00241857)
(-0.00193034,-0.00354527)
(-0.000201205,0.000102076)
(2.94991e-005,-0.000677613)
(0.00496,-0.00133527)
(0.00363907,-2.26428e-005)
(0.00494598,0.000323702)
(0.00188962,0.00220301)
(0.00158325,0.00517911)
(-0.000875002,0.00739917)
(-0.00708214,0.00714528)
(-0.00699838,-0.00142457)
(-0.00647135,-0.00225931)
(-0.00458995,-0.00772491)
(-0.00293977,-0.00689316)
(0.00229478,-0.0088047)
(0.00845988,-0.00299391)
(0.0087032,0.00105141)
(0.00835981,0.00749811)
(0.00382817,0.00862212)
(-0.00332036,0.0123073)
(-0.00929815,0.00378668)
(-0.0110269,-0.00224472)
(-0.00855773,-0.00952191)
(-0.00133087,-0.0126657)
(0.00800629,-0.00920269)
(0.0106874,-0.00359099)
(0.0114236,0.00494126)
(0.00416267,0.0127343)
(-0.000378362,0.0105488)
(-0.00475504,0.0110766)
(-0.0134367,0.00195888)
(-0.0122875,-0.00548769)
(-0.0126666,-0.0131673)
(-0.00382919,-0.0166464)
(0.00828136,-0.0180611)
(0.0198029,-0.0104815)
(0.017171,0.0118074)
(0.0068631,0.0164504)
(-0.00644799,0.0143422)
(-0.00891161,0.00800147)
(-0.0150711,0.00782034)
(-0.0103051,-0.00240001)
(-0.00534268,-0.000454584)
(-0.00411574,-0.00256397)
(-0.000406417,-0.00316751)
(0.00239059,-0.00571757)
(-0.000939145,-0.00540439)
(0.00807702,-0.00472892)
(0.00500605,-0.00580327)
(0.0100375,-0.0027998)
(0.0105665,0.00470778)
(0.0057242,0.00568547)
(0.00182427,0.0116074)
(-0.00140408,0.00986141)
(-0.00929766,0.0137244)
(-0.016176,0.00715211)
(-0.0105929,-0.00286034)
(-0.00735221,-0.0119603)
(-0.00883451,-0.00949752)
(0.000320843,-0.0162463)
(0.0131331,-0.0161141)
(0.0243502,-0.0128974)
(0.010214,0.00563619)
(0.0090698,0.00982563)
(0.00156621,0.0239007)
(-0.00913916,0.0137557)
(-0.0114225,0.00657232)
(-0.00809641,0.000311322)
(-0.00683525,-0.00416587)
(-0.00539181,-0.00644026)
(-0.000190695,-0.00888324)
(4.58496e-005,-0.00130974)
(-0.000225658,-0.00170758)
(0.000112002,-0.00129457)
(0.000856814,-0.00736516)
(0.00358401,-0.00297764)
(0.00586859,-0.001688)
(0.0063575,-0.000659443)
(0.00929657,0.00842159)
(0.00277168,0.00955069)
(0.00106418,0.00935254)
(-0.00323975,0.00623924)
(-0.00987113,0.00292023)
(-0.00868661,0.00179254)
(-0.0100375,-0.00315161)
(-0.0048672,-0.0070339)
(-2.65612e-005,-0.00775394)
(0.0047023,-0.00967303)
(0.00527361,-0.00616111)
(0.00626154,-0.00555058)
(0.00699543,0.000993225)
(0.00370562,0.00398107)
(0.00466798,0.00611532)
(0.00212584,0.00672243)
(-0.000538592,0.00821901)
(-0.00150206,0.00660513)
(-0.00561228,0.00556139)
(-0.0070443,0.00285102)
(-0.00922977,0.00119671)
(-0.0122467,-0.00403285)
(-0.00278593,-0.00995206)
(0.00141262,-0.0100352)
(0.0124508,-0.0126153)
(0.00751337,-0.00466483)
(0.0113589,-0.00245922)
(0.0077094,0.00789832)
(0.00445889,0.0101013)
(0.000927905,0.011807)
(-0.00163097,0.00595886)
(-0.00552708,0.00453802)
(-0.00764344,-6.88477e-005)
(-0.00792278,-0.00280902)
(-0.00497194,-0.00291652)
(-0.00450162,-0.00540805)
(-0.00121461,-0.00625922)
(0.00137545,-0.0083809)
(0.00400408,-0.00637928)
(0.00605136,-0.00051345)
(0.00391637,-0.00192486)
(0.00415517,0.000993879)
(0.00695478,0.0050507)
(0.00136132,0.00318729)
(-0.00166945,0.00753128)
(-0.000949158,0.00383387)
(-0.00678286,0.00882466)
(-0.00703491,0.00211414)
(-0.00647853,0.00240244)
(-0.00671403,-0.00375)
(-0.00113321,-0.00412716)
(-0.00190137,-0.0108709)
(0.00327251,-0.0124264)
(0.00769102,-0.00534971)
(0.00222642,-0.000840956)
(0.00743419,0.00534373)
(0.00417313,0.00519154)
(0.00949508,0.00509183)
(-0.00253687,0.0046204)
(-0.00325975,0.00304372)
(-0.00469702,0.0116499)
(-0.00621214,0.00511419)
(-0.00678377,0.00195531)
(-0.00585958,-0.00368855)
(-0.0100929,-0.00935129)
(-0.00408465,-0.00424357)
(0.00232143,-0.0103686)
(0.0132787,-0.00751747)
(0.0106081,-0.00396228)
(0.0114198,-0.00242753)
(0.00730027,0.00860709)
(0.00501697,0.00836179)
(-0.002084,0.0114439)
(-0.00723684,0.00413511)
(-0.00753116,0.00632264)
(-0.00967366,2.65901e-005)
(-0.0067222,-0.002737)
(-0.00746739,-0.00504292)
(-0.00331824,-0.00835816)
(0.000330339,-0.0067898)
(0.00356964,-0.00947161)
(0.00842023,-0.00572228)
(0.0085236,-0.00222862)
(0.00746602,0.0049124)
(0.00352373,0.00906198)
(0.00496613,0.00926286)
(-0.00217585,0.00970436)
(-0.00729186,0.00658904)
(-0.0101684,0.00394836)
(-0.00432288,-0.00560968)
(-0.0103595,-0.00478185)
(-0.00251049,-0.00613384)
(0.00151135,-0.00514194)
(0.00601079,-0.00660475)
(0.00461532,-0.00342646)
(0.00734523,-0.000454357)
(0.00393442,0.00257554)
(0.00210632,0.00227505)
(-0.000998914,0.00597917)
(-0.000217061,0.00515222)
(-0.00225644,0.00476395)
(-0.00197783,0.00248897)
(-0.00359663,-8.17574e-006)
(-0.00227888,-0.00277086)
(-0.0046453,-0.00197603)
(-0.000813627,-0.00260444)
(-0.00169639,-0.00104777)
(0.00190368,-0.00239891)
(0.00283747,-0.00124851)
(0.00181835,-0.00175533)
(0.0026898,6.2953e-005)
(0.00173389,0.00135166)
(0.00176287,0.00312025)
(0.000993276,0.00314289)
(0.000527779,0.00215586)
(-0.000599633,0.00224845)
(-0.00206166,0.000635593)
(-0.00224489,0.000416179)
(-0.00215817,-0.000242358)
(-0.000824924,-0.000691921)
(-0.00122197,-0.00134042)
(-0.000167727,-0.00234079)
(0.000662926,-0.00167657)
(0.00127272,-0.00138296)
(0.00140352,-0.000927524)
(0.00232089,8.72969e-005)
(0.00193008,0.00103807)
(0.00121197,0.00136788)
(0.000594668,0.00163881)
(-4.26202e-005,0.00179109)
(-0.000463038,0.00171582)
(-0.00141562,0.00048846)
(-0.000951146,0.000514391)
(-0.00188701,-0.000358433)
